show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2976,movie,miss americana,lana wilson,taylor swift,United States,2020-01-31,2020,tv-ma,85,"documentaries, music & musicals","in this revealing documentary, taylor swift embraces her role as a songwriter and performer — and as a woman harnessing the full power of her voice."
s2979,movie,kevin hart: i'm a grown little man,shannon hartman,kevin hart,United States,2020-01-30,2009,tv-ma,62,stand-up comedy,"stand-up comedy star kevin hart delivers his unique perspective on work, race, family and friends with this laugh-riot comedy show."
s2982,movie,close enemies,david oelhoffen,"matthias schoenaerts, reda kateb, adel bencherif, sofiane zermani, sabrina ouazani, gwendolyn gourvenec, nicolas giraud, yann goven, astrid whettnall, ahmed benaissa, marc barbé","France, Belgium",2020-01-29,2018,tv-ma,112,"dramas, international movies","after an ambush leaves his partner dead, drug dealer manuel reluctantly teams up with childhood friend driss – now a cop – to hunt down the culprits."
s2986,movie,shimla mirchi,ramesh sippy,"rajkummar rao, tarun wadhwa, rakul preet singh, kiran juneja, hema malini, kamlesh gill, shakti kapoor, kanwaljeet singh",India,2020-01-27,2020,tv-14,121,"comedies, international movies, romantic movies","a young man who gets tongue-tied around women writes a love letter to his crush, but it ends up in the hands of her mother, who thinks it's for her."
s2987,movie,sillu karuppatti,halitha shameem,"nivedhithaa sathish, leela samson, samuthirakani, sunaina, manikandan",India,2020-01-26,2019,tv-14,133,"comedies, dramas, independent movies","from first crushes to post-marriage relationships, love and connection are at the heart of the four interwoven stories in this anthology film."
s2988,movie,vir das: for india,"vir das, ajay bhuyan",vir das,India,2020-01-26,2020,tv-ma,76,stand-up comedy,"from the vedas to vasco da gama to vacuous bollywood plotlines, comedian vir das celebrates the history of india with his one-of-a-kind perspective."
s2989,movie,menashe,"josh z. weinstein, joshua z. weinstein","menashe lustig, ruben niborski, yoel weisshaus, meyer schwartz, yoel falkowitz, ariel vaysman",United States,2020-01-25,2017,pg,82,"dramas, independent movies","a year after his wife's death, a widower faces pressure from his hasidic community to give up his son for adoption unless he finds a new partner."
s2990,movie,a sun,chung mong-hong,"wu chien-ho, chen yi-wen, samantha ko, liu kuan-ting, greg hsu, wu tai-ling, wen chen-ling, yin shin",Taiwan,2020-01-24,2019,tv-ma,156,"dramas, independent movies, international movies",a family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows.
s2991,movie,die ontwaking,johnny breedt,"gys de villiers, juanita de villiers, gérard rudolf, paul eilers, pete spyropoulos, jaco muller, armand aucamp, christine tesco",South Africa,2020-01-24,2015,tv-ma,90,"international movies, thrillers",an inexperienced murder detective joins a desperate search for a deranged serial killer who possesses a deep obsession with young women’s skin.
s2996,movie,airplane mode,césar rodrigues,"larissa manoela, andré luiz frambach, erasmo carlos, mariana amâncio, amanda orestes, eike duarte, nayobe nzainab, katiuscia canoro, phellyx moura, dani ornellas, michel bercovitch, sílvia lourenço",United States,2020-01-23,2020,tv-pg,97,"comedies, international movies, romantic movies","when ana, an influencer, crashes her car while talking on the phone, she’s shipped to her grumpy grandfather's farm – and forced into a digital detox."
s2997,movie,alex fernández: the best comedian in the world,alex díaz,alex fernández,Mexico,2020-01-23,2020,tv-ma,51,stand-up comedy,comic alex fernández performs his familiar autobiographical stories but goes a little deeper this time with a tender tale about one of his six siblings.
s3000,tv show,the ghost bride,quek shio-chuan,"huang peijia, wu kang-jen, ludi lin, janet hsieh, kuang tian, susan leong, jordan voon, angeline tan, jojo goh, teresa daley","Taiwan, Malaysia",2020-01-23,2020,tv-14,1,"international tv shows, tv dramas, tv mysteries","in 1890s malacca, li lan finds herself in the afterlife and becomes mired in a mystery linked to the sinister, deceased son of a wealthy family."
s3003,movie,whisky,"pablo stoll, juan pablo rebella","andrés pazos, mirella pascual, jorge bolani, josé pedro bujaruz, verónica perrotta","Uruguay, Argentina, Germany, Spain",2020-01-22,2004,tv-ma,98,"comedies, dramas, international movies","to impress family, a factory owner pretends to be married to one of his employees, and soon, the ""couple"" finds their lives radically altered."
s3004,movie,fortune feimster: sweet & salty,krysia plonka,fortune feimster,United States,2020-01-21,2020,tv-ma,61,stand-up comedy,"actor, comedian and writer fortune feimster takes the stage and riffs on her southern roots, sexual awakenings, showbiz career and more."
s3005,movie,kd (a) karuppudurai,madhumita,"mu ramaswamy, naga vishal, yog japee, ganesan kaliamoorthy, guna babu",India,2020-01-21,2019,tv-14,116,"comedies, dramas, independent movies","as his children plot his death to claim their inheritance, an aging patriarch leaves home, befriending a spunky boy who adds direction to his life."
s3007,movie,motichoor chaknachoor,debamitra biswal,"nawazuddin siddiqui, athiya shetty, sanjeev vats, vibha chhibber, vivek mishra, navni parihar, karuna pandey, abhishek rawat",India,2020-01-20,2019,tv-14,132,"comedies, dramas, international movies","pushing 40 and unemployed, a dubai returnee desperate for a wife catches the eye of a bhopal belle, who sees him solely as her ticket out of india."
s3008,movie,what did jack do?,david lynch,david lynch,United States,2020-01-20,2020,tv-14,17,"dramas, independent movies",a detective interrogates a monkey who is suspected of murder.
s3009,movie,the bling ring,sofia coppola,"emma watson, leslie mann, carlos miranda, israel broussard, taissa farmiga, katie chang, georgia rock, claire julien","United States, United Kingdom, France, Germany, Japan",2020-01-18,2013,r,91,"dramas, independent movies","based on fact, this comic thriller tracks the saga of the hollywood hills burglar bunch, who used the web to time their robberies of stars' homes."
s3010,movie,a fall from grace,tyler perry,"crystal fox, phylicia rashad, cicely tyson, bresha webb, mehcad brooks, adrian pasdar, tyler perry",United States,2020-01-17,2020,tv-ma,121,"dramas, thrillers","when gentle, law-abiding grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. a film by tyler perry."
s3015,movie,deadcon,caryn waechter,"lauren elizabeth, claudia sulewski, keith machekanyanga, mimi gianopulos, lukas gage, carl gilliard, caeli, mark dohner, jessie paege, richard kohnke, dominic burgess, judah mackey",United States,2020-01-16,2019,tv-14,78,horror movies,"a group of uber-popular, social media influencers’ trip to a digital media festival grows dark when an evil spirit wants to lure them to their demise."
s3017,movie,hop,tim hill,"james marsden, russell brand, kaley cuoco, hank azaria, gary cole, elizabeth perkins, hugh laurie, tiffany espensen, david hasselhoff, chelsea handler","United States, France, Japan",2020-01-16,2011,pg,95,"children & family movies, comedies",a jobless slacker finds himself beyond busy after he runs over the easter bunny and has to take over the rabbit's duties so the holiday can continue.
s3018,movie,jezebel,numa perrier,"tiffany tenille, numa perrier, stephen barrington, bobby field, rockwelle dortch, zoe tyson, dennis jaffee, jessa zarubica, riria, charlie taylor, amy aitken, brett gelman",United States,2020-01-16,2019,tv-ma,86,"dramas, independent movies","during the internet's infancy, a vulnerable woman follows her sister into the sex industry as a webcam model but her sudden popularity tests their bond."
s3019,movie,legend,brian helgeland,"tom hardy, emily browning, david thewlis, duffy, christopher eccleston, chazz palminteri, paul bettany, taron egerton, colin morgan, tara fitzgerald","United Kingdom, France, United States",2020-01-16,2015,r,132,"dramas, international movies, thrillers",identical twins and notorious gangsters reggie and ronnie kray elude the authorities in 1960s london while transfixing and terrifying the public.
s3020,movie,ninokuni,yoshiyuki momose,"kento yamazaki, mackenyu, mei nagano, mamoru miyano, maaya sakamoto, yuki kaji, kenjiro tsuda, koichi yamadera, masatoh ibu, tsuyoshi muro",Japan,2020-01-16,2019,tv-14,107,"action & adventure, anime features, children & family movies",two average teens go on a magical quest to save the life of their friend and her counterpart from another world. but love complicates their journey.
s3022,movie,steve jobs,danny boyle,"michael fassbender, kate winslet, seth rogen, jeff daniels, michael stuhlbarg, katherine waterston, perla haney-jardine, sarah snook, john ortiz, adam shapiro","United Kingdom, United States",2020-01-16,2015,r,122,dramas,"by keying in on three crucial points in his career, this biopic shows the human foibles and visionary fearlessness of the man who made the mac."
s3023,movie,bulbul can sing,rima das,"arnali das, manoranjan das, banita thakuriya, manabendra das, deepjyoti kalita, pakija begum",India,2020-01-15,2018,tv-14,95,"dramas, independent movies, international movies","exploring their sexual identities in the face of the patriarchal rules of their assamese village, a teenager and her two friends are rocked by tragedy."
s3024,movie,eye for an eye,paco plaza,"luis tosar, xan cejudo, ismael martínez, enric auquer, maría vázquez, daniel currás, rebeca montero, luisa mayol, jessica serna, tamara canosa","Spain, France, United States",2020-01-15,2019,tv-ma,108,"dramas, international movies, thrillers","a cartel boss is released from prison and unknowingly put in the care of a vengeful nurse, whose life was tragically impacted by the drug lord."
s3026,movie,mindgamers,andrew goth,"tom payne, melia kreiling, antonia campbell-hughes, sam neill, turlough convery, oliver stark, dominique tipper, ryan doyle, simon paisley-day, pedja bjelac",Austria,2020-01-15,2017,r,99,"international movies, sci-fi & fantasy, thrillers","brilliant young students discover a breakthrough that could change humankind, but soon find themselves the subjects of a much bigger experiment."
s3027,movie,the brave,william kaufman,"armand assante, louis mandylor, yuriy kutsenko, ravshana kurkova, igor jijikine, ivan makarevich, bessart kallaku, ervin bejleri",United States,2020-01-15,2019,tv-ma,103,"action & adventure, independent movies","with entry into the european union at stake, albania must rely on a mash-up of elite cops to take down a slippery drug lord dominating its economy."
s3028,movie,leslie jones: time machine,"david benioff, d.b. weiss",leslie jones,United States,2020-01-14,2020,tv-ma,66,stand-up comedy,"from trying to seduce prince to battling sleep apnea, leslie jones traces her evolution as an adult in a joyfully raw and outrageous stand-up special."
s3030,movie,women of mafia 2,patryk vega,"angie cepeda, agnieszka dygant, aleksandra grabowska, aleksandra popławska, katarzyna warnke, piotr adamczyk, enrique arce, amin bensalem, wojciech bocianowski, janusz chabior",Poland,2020-01-14,2019,tv-ma,132,"action & adventure, dramas, international movies","when a major drug deal goes sour, the queen of the warsaw underworld must contend with a rival criminal, a crossed ally and a religious fighter."
s3032,movie,betty white: first lady of television,steve boettcher,"betty white, valerie bertinelli, georgia engel, tina fey, valerie harper, jennifer love hewitt, carl reiner, ryan reynolds, alex trebek",United States,2020-01-12,2018,tv-14,56,documentaries,this documentary on actress and television producer betty white traces her decades-long career as a  woman breaking new ground in entertainment.
s3033,movie,made in china,mikhil musale,"rajkummar rao, boman irani, mouni roy, sumeet vyas, paresh rawal, gajraj rao, manoj joshi, sanjay goradia, amyra dastur, chittaranjan tripathi, abhishek banerjee",India,2020-01-12,2019,tv-ma,128,"comedies, dramas, international movies","after a trip to china, a struggling entrepreneur returns to india as the supplier of an illegal aphrodisiac — but all he ends up stimulating is chaos."
s3037,tv show,jamtara - sabka number ayega,soumendra padhi,"amit sial, dibyendu bhattacharya, aksha pardhasany, sparsh shrivastava, monika panwar, anshumaan pushkar",India,2020-01-10,2020,tv-ma,1,"crime tv shows, international tv shows, tv dramas","a group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme – and a cop wants to fight it."
s3039,movie,monsters: dark continent,tom green,"johnny harris, sam keeley, joe dempsie, kyle soller, nicholas pinnock, parker sawyers, philip arditti, sofia boutella",United Kingdom,2020-01-10,2014,r,119,"action & adventure, dramas, independent movies",an american platoon stationed in the middle east is thrust into battle with a breed of tentacled aliens whose rapid spread threatens human survival.
s3042,movie,bulletproof 2,don michael paul,"faizon love, kirk fox, tony todd, pearl thusi, cassie clare, fiona ramsey, neels clasen, roxy nel",United States,2020-01-09,2020,tv-ma,97,"action & adventure, comedies",a special agent abruptly reunites with a criminal – once a former friend – when he attempts to use his identity to infiltrate and take down a cartel.
s3044,movie,a ghost story,david lowery,"casey affleck, rooney mara, liz franke, rob zabrecky, will oldham, sonia acevedo",United States,2020-01-07,2017,r,92,"dramas, independent movies","following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open."
s3045,movie,"live twice, love once",maria ripoll,"oscar martínez, inma cuesta, mafalda carbonell, nacho lópez, isabel requena, aina clotet, antonio valero, maría zamora, hugo balaguer, valeria schoneveld",Spain,2020-01-07,2020,tv-ma,102,"comedies, dramas, international movies","when emilio (oscar martínez) is diagnosed with alzheimer's disease, he and his family embark on a quest to reunite him with his childhood crush."
s3047,movie,all the freckles in the world,yibrán asuad,"hánssel casillas, loreto peralta, andrea sutton, luis de la rosa, alejandro flores, anajosé aldrete, daniel haddad, montserrat marañón, juan carlos viana prieto, hernán del riego",Mexico,2020-01-03,2020,tv-14,90,"comedies, international movies, romantic movies",thirteen-year-old josé miguel is immune to 1994 world cup fever until he realizes soccer is the only way to win the heart of his crush.
s3049,movie,half girlfriend,mohit suri,"arjun kapoor, shraddha kapoor, vikrant massey, seema biswas, rhea chakraborty, sujata sehgal, anisa butt",India,2020-01-02,2017,tv-14,129,"dramas, international movies, romantic movies","small-town madhav falls for big-city riya and wants her to be his girlfriend. but she views their relationship differently, and suggests a compromise."
s3052,movie,aruna & her palate,edwin,"dian sastrowardoyo, oka antara, hannah al rashid, nicholas saputra, deddy mahendra desta, ayu azhari","Indonesia, Republic Of Korea, Singapore",2020-01-01,2018,tv-14,106,"dramas, international movies","an epidemiologist turns her nationwide bird flu investigation into a chance to sample local delicacies en route, with three friends along for the ride."
s3055,movie,breaking the bank,vadim jean,"kelsey grammer, tamsin greig, john michael higgins, mathew horne, pearce quigley, togo igawa, sonya cassidy, julie dray, danny morgan, andrew sachs",United Kingdom,2020-01-01,2014,tv-pg,105,"comedies, international movies",bank chairman charles bunbury – who knows next to nothing about banking – fights to save both his company and his marriage from disaster.
s3058,movie,garfield gets real,"mark a.z. dippé, kyung ho lee","frank welker, wally wingert, gregg berger, jennifer darling, pat fraley, jason marsden, neil ross, audrey wasilewski, stephen stanton, greg eagles",United States,2020-01-01,2007,tv-y,78,"children & family movies, comedies","after trying to live in the ""real world"" and concluding it isn't for him, garfield must return to his comic-strip home before getting trapped forever."
s3059,movie,garfield's fun fest,"mark a.z. dippé, eondeok han","frank welker, tim conway, gregg berger, wally wingert, audrey wasilewski, fred tatasciore, stephen stanton, jennifer darling, neil ross, greg eagles","United States, Republic Of Korea",2020-01-01,2008,tv-y7,79,"children & family movies, comedies","garfield has long been the champ at a yearly competition for the funniest comic strip. but this time, garfield must battle tall, handsome ramone."
s3060,movie,garfield's pet force,mark a.z. dippé,"frank welker, vanessa marshall, gregg berger, wally wingert, audrey wasilewski, jason marsden, fred tatasciore, stephen stanton, jennifer darling, neil ross, greg eagles, cathy cavadini, david michie, greg finley","Republic Of Korea, United States",2020-01-01,2009,g,78,"children & family movies, comedies","when an alien menace and her army of undead minions threaten to enslave the world, garfield heads a team of comic-strip superheroes to save the day."
s3061,movie,ghost stories,"anurag kashyap, dibakar banerjee, karan johar, zoya akhtar","janhvi kapoor, sobhita dhulipala, sukant goel, gulshan devaiah, mrunal thakur, avinash tiwary, vijay varma, sagar arya, surekha sikri, pavail gulati",India,2020-01-01,2020,tv-ma,145,"horror movies, international movies, thrillers","the directors of emmy-nominated ""lust stories"" (zoya akhtar, anurag kashyap, dibakar banerjee and karan johar) reunite for this quartet of thrillers."
s3062,movie,jeff dunham: unhinged in hollywood,michael simon,jeff dunham,United States,2020-01-01,2015,tv-ma,71,stand-up comedy,unfiltered ventriloquist jeff dunham brings his ragtag crew of puppet pals to hollywood for big laughs about celebrity culture and california living.
s3063,movie,jimmy neutron: boy genius,john a. davis,"debi derryberry, jeffrey garcia, rob paulsen, megan cavanagh, mark decarlo, carolyn lawrence, andrea martin, candi milo, crystal scales, martin short, patrick stewart, jim cummings","United States, Spain",2020-01-01,2001,g,83,"children & family movies, comedies, sci-fi & fantasy","when gooey green aliens kidnap all the adults in retroville, it's up to 11-year-old jimmy neutron to come up with a plan to rescue them."
s3069,movie,pan's labyrinth,guillermo del toro,"ivana baquero, sergi lópez, maribel verdú, doug jones, ariadna gil, álex angulo, manolo solo, césar vea, roger casamajor, sergi lopez","Mexico, Spain",2020-01-01,2006,r,119,"dramas, international movies, sci-fi & fantasy",young ofelia meets a mythical faun who claims she is destined to become princess of the underworld. but first she must carry out three perilous tasks.
s3070,movie,pokémon the movie: power of us,tetsuo yajima,"gim yeong-seon, ikue otani, o inseong, i sen-ho, jeong-shin woo, sarah natochenny",Japan,2020-01-01,2018,tv-y7,98,"anime features, children & family movies","ash and pikachu journey to fula city for its wind festival. when disaster looms, they must work together with a group of misfits to save the day!"
s3071,movie,posesif,edwin,"putri marino, adipati dolken, gritte agatha, chicco kurniawan, yayu unru, cut mini theo, ismail basbeth, maulidina k. putri",Indonesia,2020-01-01,2017,tv-ma,102,"dramas, international movies, romantic movies",a student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance.
s3074,movie,road trip: beer pong,steve rash,"nestor aaron absera, julianna guill, preston jones, julia levy-boeken, danny pudi, michael trotter, daniel newman, dj qualls",United States,2020-01-01,2009,r,97,comedies,"when three college pals hit the road to compete in a big-time beer pong tournament, their trip morphs into an outrageous odyssey."
s3078,movie,aaviri,ravi babu,"ravi babu, neha chauhan, sri muktha, bharani shankar, mukhtar khan, priya",India,2019-12-31,2019,tv-14,110,"horror movies, international movies, thrillers","after losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit."
s3079,movie,albert pinto ko gussa kyun aata hai?,soumitra ranade,"nandita das, manav kaul, saurabh shukla, kishore kadam, omkar das manikpuri, amarjeet amle, yusuf hussain, sushma bakshi",India,2019-12-31,2019,tv-ma,85,"dramas, independent movies, international movies","as the police investigate his disappearance, a young man heads to goa to carry out an act of vengeance fueled by years of pent-up anger toward society."
s3081,movie,benchwarmers 2: breaking balls,jon rosenbaum,"chris klein, jon lovitz, chelsey reist, lochlyn munro, liam hughes, jill morrison, zak santiago, garfield wilson, jonathan silverman",United States,2019-12-31,2019,pg-13,90,"comedies, sports movies",a rookie lawyer with an emasculating past in baseball can break into the legal world only if he manages a law firm's ragtag company softball team.
s3082,movie,how high 2,bruce leddy,"lil yachty, d.c. young fly, alyssa goss, deray davis, mary lynn rajskub, blac youngsta, lil baby, nene leakes, mike epps, al shearer",United States,2019-12-31,2019,tv-ma,89,comedies,"when a pair of friends uncover a weed bible, their magical stash gets stolen, sending them on a pot-fueled quest through atlanta to find it."
s3090,movie,hot gimmick: girl meets boy,yuki yamato,"miona hori, hiroya shimizu, shotaro mamiya, mizuki itagaki, hiyori sakurada, kaisei kamimura, ai yoshikawa, ryohei shima, asuka kurosawa, kazuya takahashi, takashi sorimachi, riho yoshioka",Japan,2019-12-28,2019,tv-ma,120,"dramas, international movies","a quiet teen's life is shaken up when she's forced to be her arrogant neighbor's slave. he loves her, but they both have a lot to learn about trust."
s3091,movie,blitz patrollie,andrew wessels,"joey rasdien, david kau, david kibuuka, chris forrest, santhiran moonsamy, quentin krog, kaseran pillay, mabutho sithole, mel miller, kagiso lediga, craig urbani",South Africa,2019-12-27,2013,tv-ma,102,"action & adventure, comedies, international movies","caught between family pressures and small-time crime-fighting, a pair of bumbling cops tries to bust a massive drug deal and go down in history."
s3092,movie,"el pepe, a supreme life",emir kusturica,"josé mujica, emir kusturica","Argentina, Uruguay, Serbia",2019-12-27,2018,tv-14,73,"documentaries, international movies","in this intimate documentary, former uruguayan president josé ""pepe"" mujica talks about lessons he learned while in prison, his ideals and the future."
s3095,movie,the app,elisa fuksas,"vincenzo crea, jessica cressy, greta scarano, maya sansa, abel ferrara, anita kravos",Italy,2019-12-26,2019,tv-ma,79,"dramas, independent movies, international movies","while in rome to shoot his first movie, actor and industrial heir nick becomes obsessed with a dating app that sends him into a self-destructive spiral."
s3097,tv show,you,lee toland krieger,"penn badgley, elizabeth lail, shay mitchell, john stamos, luca padovan, zach cherry",United States,2019-12-26,2019,tv-ma,2,"crime tv shows, romantic tv shows, tv dramas","obsessed with an aspiring writer, a charming bookstore manager goes to extreme measures to insert himself into her life."
s3098,movie,doom: annihilation,tony giglio,"amy manson, dominic mafham, luke allen-gale, james weber brown, clayton adams, nina bergman, amer chadha-patel, gavin brocker, chidi ajufo, hari dhillon, katrina nare",United States,2019-12-25,2019,r,97,"action & adventure, horror movies, sci-fi & fantasy","when a swarm of soul-stealing demons invades a martian moon, a group of elite space marines must obliterate the beasts to save earth."
s3099,movie,fireworks,"akiyuki shinbo, nobuyuki takeuchi","yuki kaji, nobuo tobita, michiko neya, mitsuru miyamoto, fumihiko tachiki, shintaro asanuma, takahiro sakurai, kana hanazawa, toshiyuki toyonaga, suzu hirose, shinichiro miki, mamoru miyano, takako matsu, masaki suda",Japan,2019-12-25,2017,tv-pg,91,"anime features, romantic movies","middle schooler nazuna desperately wants to run away with her classmate norimichi, who somehow turns back time on this fateful summer's day."
s3100,movie,grand-daddy day care,ron oliver,"danny trejo, reno wilson, margaret avery, barry bostwick, julia duffy, anthony gonzalez, linda gray, james hong, hal linden, alec mapa",United States,2019-12-25,2019,pg-13,96,"children & family movies, comedies",a frustrated novelist with money problems opens an unsanctioned senior center at his house to make quick cash and occupy his cumbersome father-in-law.
s3101,movie,jarhead: law of return,don michael paul,"amaury nolasco, devon sawa, robert patrick, jeff pierre, ben cross, amos tamam, yael eitan, tsahi halevi","Israel, United States",2019-12-25,2019,r,103,"action & adventure, dramas","when a u.s. senator’s son is held captive by hezbollah militiamen, a group of highly trained soldiers ventures into enemy territory to bring him home."
s3102,movie,mfkz,"shojiro nishimi, guillaume renard","kenn michael, vince staples, dino andrade, michael chiklis, giancarlo esposito, jorge gutierrez, dascha polanco, rza, danny trejo, antonio alvarez","France, Japan",2019-12-25,2017,r,95,"action & adventure, comedies, international movies",mysterious goons chase teenage slacker angelino through chaotic dark meat city as he uncovers secret powers that could be the key to saving the world.
s3103,movie,sweetheart,j.d. dillard,"kiersey clemons, emory cohen, hanna mangan lawrence, andrew crawford, benedict samuel",United States,2019-12-25,2019,pg-13,83,"horror movies, sci-fi & fantasy, thrillers",a woman shipwrecked on a remote island discovers she’s not alone and begins a fight for survival against a deadly presence that emerges each night.
s3105,movie,como caído del cielo,pepe bojórquez,"omar chaparro, ana claudia talancón, stephanie cayo, yare santana, angélica maría, manuel 'flaco' ibáñez, laura de ita",Mexico,2019-12-24,2019,tv-14,117,"comedies, international movies, music & musicals","to earn his place in heaven, legendary mexican actor-singer pedro infante is sent back to earth in an impersonator's body to mend his womanizing ways."
s3106,movie,john mulaney & the sack lunch bunch,rhys thomas,"john mulaney, alexander bello, tyler bourke, ava briglia, cordelia comando, camille de la cruz, oriah elgrabli, jake ryan flynn, orson hong, isabella iannelli, jacob laval, suri marrero, zell steele morrow, jonah mussolino, lexi perkel, linder sutton",United States,2019-12-24,2019,tv-pg,70,"children & family movies, comedies","john mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special."
s3108,movie,jacob's ladder,david m. rosenthal,"michael ealy, jesse williams, nicole beharie, guy burnet, joseph sikora, karla souza, ritchie coster, jon eyez",United States,2019-12-22,2019,r,90,thrillers,"after being reunited with a brother he thought was killed in combat, a former army medic begins to experience violent, paranoid visions."
s3110,movie,back of the net,louise alston,"sofia wylie, tiarnie coupland, trae robin, gemma chua-tran, ashleigh ross, yasmin honeychurch, raj labade, christopher kirby, melissa bonne, kate box",Australia,2019-12-21,2019,tv-y,86,"children & family movies, sports movies",an american science geek ready to spend a summer at sea accidentally ends up at an australian soccer academy and is forced to kick it with the locals.
s3111,movie,lost in london,sunkanmi adebayo,"ime bishop umoh, alexx ekubo, stanley chibunna, ella betts, adi lev, kemi olofinmakin",Nigeria,2019-12-21,2017,tv-pg,86,"comedies, international movies","nigerian students okon and bona experience culture shock – several shocks, really – after being selected for an exchange program in london."
s3113,movie,being mrs elliot,omoni oboli,"omoni oboli, majid michel, ayo makun, uru eke, ime bishop umoh, lepacious bose, seun akindele, sylvia oluchy, chika chukwu",Nigeria,2019-12-20,2014,tv-14,113,"dramas, international movies, romantic movies","when a scorned wife from the city shares a cab with a troubled villager, a fiery accident forces them to live out each other's lives."
s3115,movie,iyore,frank rajah arase,"rita dominic, joseph benjamin, okawa shaznay, paul obazele, yemi blaq, bukky wright",Nigeria,2019-12-20,2015,tv-pg,141,"dramas, international movies, romantic movies",a tragic romance unfolds during a teacher's lessons on the benin empire after they begin to mirror her love life when her childhood love reappears.
s3117,movie,the two popes,fernando meirelles,"anthony hopkins, jonathan pryce, juan minujín","United Kingdom, Italy",2019-12-20,2019,pg-13,126,dramas,"at a key turning point for the catholic church, pope benedict xvi forms a surprising friendship with the future pope francis. inspired by true events."
s3124,movie,ronny chieng: asian comedian destroys america!,sebastian dinatale,ronny chieng,United States,2019-12-17,2019,tv-ma,63,stand-up comedy,"ronny chieng (""the daily show,"" ""crazy rich asians"") takes center stage in this stand-up special and riffs on modern american life and more."
s3125,movie,"sincerely yours, dhaka","nuhash humayun, syed ahmed shawki, rahat rahman, robiul alam robi, golam kibria farooki, mir mukarram hossain, tanvir ahsan, mahmudul islam, abdullah al noor, krishnendu chattopadhyay, syed saleh ahmed sobhan","mostafizur noor imran, orchita sporshia, allen shubhro, shamol mawla, sarder saniat hossain, manoj kumar pramanik, trapa majumder, intekhab dinar, iresh zaker, lutfur rahman george",Bangladesh,2019-12-16,2018,tv-ma,136,"comedies, dramas, independent movies",eleven emerging bangladeshi filmmakers present a collection of gritty shorts centered on the capital city and the people living in its margins.
s3126,movie,the danish girl,tom hooper,"eddie redmayne, alicia vikander, ben whishaw, sebastian koch, amber heard, matthias schoenaerts, pip torrens, nicholas woodeson, emerald fennell, adrian schiller","United Kingdom, United States, Germany, Denmark, Belgium, Japan",2019-12-16,2015,r,120,"dramas, independent movies, international movies","in 1920s denmark, married artists embark on a journey of unconditional love when the husband announces his intentions to live life as a woman."
s3127,movie,bangistan,karan anshuman,"riteish deshmukh, pulkit samrat, kumud mishra, chandan roy sanyal, arya babbar, shivkumar subramaniam, tom alter, jacqueline fernandez",India,2019-12-15,2015,tv-14,134,"comedies, dramas, international movies","sent on the same deadly international mission by their rival religious factions, two men's madcap antics along the way take them hilariously off course."
s3131,tv show,"crazy, lovely, cool",obi emelonye,"enyinna nwigwe, adesua etomi, uru eke, zynnell zuh, obi okolie, anthony monjaro, emmanuel emelu, chinonye chidolue, lorenzo menakaya, king bawa",Nigeria,2019-12-15,2018,tv-ma,1,"international tv shows, tv dramas","for a group of charismatic undergraduates, the jolting revelations from a campus blog turn surviving university life into a serious matter."
s3132,movie,dil chahta hai,farhan akhtar,"aamir khan, saif ali khan, akshaye khanna, preity zinta, sonali kulkarni, dimple kapadia, ayub khan, rajat kapoor, suhasini mulay, ahmed khan",India,2019-12-15,2001,tv-14,185,"comedies, dramas, international movies","inseparable childhood friends akash, sameer and siddharth are just out of college. nothing comes between them – until they each fall in love."
s3133,movie,dil dhadakne do,zoya akhtar,"anil kapoor, priyanka chopra, ranveer singh, anushka sharma, farhan akhtar, shefali shah, rahul bose, parmeet sethi, vikrant massey, zarina wahab, aamir khan",India,2019-12-15,2015,tv-ma,174,"comedies, dramas, international movies","while hosting a shipboard holiday for relatives and friends, a wealthy but dysfunctional family must face the ugly truths under their flawless facade."
s3134,movie,don,farhan akhtar,"shah rukh khan, priyanka chopra, arjun rampal, isha koppikar, kareena kapoor, boman irani, om puri, pavan malhotra",India,2019-12-15,2006,tv-14,169,"action & adventure, international movies","a ruthless crime boss and drug lord is nabbed and held captive by the authorities, who send his naïve look-alike to infiltrate the man's gang."
s3135,movie,don 2,farhan akhtar,"shah rukh khan, priyanka chopra, boman irani, lara dutta, kunal kapoor, om puri, alyy khan, nawab shah","India, Germany",2019-12-15,2011,tv-14,148,"action & adventure, international movies, music & musicals","with asia under his complete control, criminal mastermind don turns to europe, battling the mob bosses of each nation along the way."
s3136,movie,fukrey,mrighdeep singh lamba,"pulkit samrat, manjot singh, ali fazal, varun sharma, richa chadda, priya anand, vishakha singh, pankaj tripathi",India,2019-12-15,2013,tv-14,135,"action & adventure, comedies, dramas",four young male friends tackle the challenges and unexpected catastrophes of growing up clueless in this music-packed bollywood teen drama.
